title,datetime,location_name,address,description,source_url,source_site
The Crane Wives - Fall Tour 2025,2025-11-16T19:30,District Music Hall,"71 Wall Street, Norwalk, CT 06850",with Spencer LaJoye,https://www.eventbrite.com/e/the-crane-wives-fall-tour-2025-tickets-1549842654099,Eventbrite
14th Annual Harbor Point 5K Turkey Trot Fun Run,2025-11-27T08:00,Harbor Point Square,"20 Harbor Point Road, Stamford, CT 06902",Get ready to trot your way through the 14th Annual Harbor Point 5K Turkey Trot Fun Run - it's gonna be a blast! Free for all to attend!,https://www.eventbrite.com/e/14th-annual-harbor-point-5k-turkey-trot-fun-run-tickets-1320078683879,Eventbrite
ATREYU THE CURSE TOUR,2025-11-22T19:00,District Music Hall,"71 Wall Street, Norwalk, CT 06850","with Unearth, Zero 9:36",https://www.eventbrite.com/e/atreyu-the-curse-tour-tickets-1388545209099,Eventbrite
CG5 Presents: The TOO MANY SONGS Tour,2025-11-15T19:00,District Music Hall,"71 Wall Street, Norwalk, CT 06850",‎,https://www.eventbrite.com/e/cg5-presents-the-too-many-songs-tour-tickets-1364385456629,Eventbrite
Dark Star Orchestra,2025-11-22T19:30,College Street Music Hall,"238 College Street, New Haven, CT 06510",An Evening with,https://www.eventbrite.com/e/dark-star-orchestra-tickets-1607418414749,Eventbrite
"Blackberry Smoke: Rattle, Ramble and Roll Tour 2025",2025-11-12T20:00,College Street Music Hall,"238 College Street, New Haven, CT 06510",with Jason Scott & The High Heat,https://www.eventbrite.com/e/blackberry-smoke-rattle-ramble-and-roll-tour-2025-tickets-1712166208219,Eventbrite
2025 Harvard-Yale Game,2025-11-22T06:30,"Yale Bowl, Yale University, New Haven, CT","81 Central Ave, New Haven, CT 06515","Get ready for The Game: Harvard vs. Yale on Sat, Nov 22 @ 12PM in New Haven! Bus and tailgate tickets below.",https://www.eventbrite.com/e/2025-harvard-yale-game-tickets-1871457773579,Eventbrite
2025 Ann's Place Festival of Trees,2025-11-21T12:00,The Summit at Danbury,"100 Reserve Road, Danbury, CT 06810","Help local familes facing cancer by attending the Danbury area's premiere Holiday event! Scores of decorated trees, raffle prizes, and fun!",https://www.eventbrite.com/e/2025-anns-place-festival-of-trees-tickets-1512708284199,Eventbrite
Freestyle VS 90's w/DJ Jay R One,2025-11-15T20:00,The Cabaret Theatre,"1 Mohegan Sun Boulevard, Montville, CT 06382","Saturday November 15th, it's the Freestyle VS. 90's party!!  The night will be filled with the best of Freestyle music AND the best of 90's",https://www.eventbrite.com/e/freestyle-vs-90s-wdj-jay-r-one-tickets-1617757408959,Eventbrite
Giant Slayers Conference 2025,2025-11-14T19:00,Rehoboth Church of God,"1170 Blue Hills Avenue, Bloomfield, CT 06002",Get ready to conquer your biggest challenges at the Giant Slayers Conference 2025 - where we'll equip you with the tools to overcome any obs,https://www.eventbrite.com/e/giant-slayers-conference-2025-tickets-1355200343709,Eventbrite
Legally Blonde: The Musical!,2025-11-21T19:00,New Canaan High School,"11 Farm Road, New Canaan, CT 06840","Get ready to be blown away by the sass, humor, and girl power in Legally Blonde: The Musical - a night of pure entertainment awaits!",https://www.eventbrite.com/e/legally-blonde-the-musical-tickets-1867120400379,Eventbrite
Jake Minch: More George On Tour,2025-11-25T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514",with Darryl Rahn,https://www.eventbrite.com/e/jake-minch-more-george-on-tour-tickets-1657055811539,Eventbrite
Afro-Met Soiree,2025-11-15T20:00,3155 Main St,"3155 Main Street, Hartford, CT 06120",Get ready for a night of grooving to Afrobeat tunes and mingling with fellow music lovers at our Afro-Met Soiree!,https://www.eventbrite.com/e/afro-met-soiree-tickets-1777673512329,Eventbrite
MAX B Official Welcome Home Celebration,2025-11-29T15:00,Club Vandome,"102 Hamilton Street, New Haven, CT 06511",Big Mike The Ruler Presents : Saturday November 29th The Official MAX B  & friends Welcome Home Celebration Event . Doors Open 3pm -7pm,https://www.eventbrite.com/e/max-b-official-welcome-home-celebration-tickets-1702065195819,Eventbrite
THRIVE Farmington Valley,2025-11-14T19:00,VALLEY COMMUNITY BAPTIST CHURCH,"590 West Avon Road, Avon, CT 06001",Join with other Farmington Valley believers across multiple churches at Thrive Farmington Valley!,https://www.eventbrite.com/e/thrive-farmington-valley-tickets-1708736800769,Eventbrite
"""The Soul of America"" – Jon Meacham, author, historian",2025-12-03T18:30,Christ Church Greenwich,"254 East Putnam Avenue, Greenwich, CT 06830","Jon Meacham, Pulitzer Prize-winning author and historian, discusses his book ""The Soul of America: God, History, and the Way We Live Now.""",https://www.eventbrite.com/e/the-soul-of-america-jon-meacham-author-historian-tickets-1510992211379,Eventbrite
JI LIVE,2025-11-21T21:00,3155 Main St,"3155 Main Street, Hartford, CT 06120",Come enjoy a great night with  J.I LIVE  ... Friday Nov 21st ... 321 Hall ... This. is a must attend event,https://www.eventbrite.com/e/ji-live-tickets-1791962430869,Eventbrite
Toys Fore Joy 2025,2025-11-15T09:30,Tunxis Country Club,"87 Town Farm Road, Farmington, CT 06032",The Toys are back in town: Celebrate the Season at Farmington's largest Turkey Shoot & Toy Drive!,https://www.eventbrite.com/e/toys-fore-joy-2025-registration-1758351419429,Eventbrite
Ariel Pink: With You Every Night Tour 2025,2025-11-22T20:00,Space Ballroom,"295 Treadwell Street, Hamden, CT 06514","with PAINT, Nervous City",https://www.eventbrite.com/e/ariel-pink-with-you-every-night-tour-2025-tickets-1731624638909,Eventbrite
Southington High: Class of 2000 Reunion,2025-11-28T19:00,The Mountain Room at Mount Southington,"412 Mount Vernon Road, Southington, CT 06479","Get ready to party like it's 1999 at the Southington High: Class of 2000 Reunion, where memories will be made and old friends reunited!",https://www.eventbrite.com/e/southington-high-class-of-2000-reunion-tickets-1626462124999,Eventbrite
